Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
5480,2317024,57622100,100,500
5481,3986464,99007000,100,700
5482,7970184,193208200,0,800
5483,7306274,179651500,0,900
5484,2648302,64407600,100,400
5485,2476338,60114000,0,400
5486,3889225,100160900,100,300
5487,9220299,228853700,100,800
5488,1935670,49910400,0,400
5489,8848200,228310000,0,800
5490,9569138,233522300,100,400
5491,3169057,79970900,0,300
5492,9543789,242796000,0,500
5493,3619535,94473200,0,400
5494,7332094,178397200,0,1000
5495,6255258,151216700,0,700
5496,9399205,239898000,0,800
5497,8125879,201228400,0,600
5498,6034695,153985600,0,500
5499,1239636,30748200,0,400
5500,1938615,48463300,0,300
5501,4943949,126707700,0,500
5502,2645076,64138700,0,300
5503,9597695,244769100,0,800
5504,8825965,222906000,0,800
5505,1103771,28072100,0,400
5506,6799770,173403500,100,800
5507,1591084,40325700,0,300
5508,4407000,113533000,0,900
5509,573158,14488000,100,200
5510,9453243,238744200,0,600
5511,8073363,199536700,0,700
5512,9526308,231268400,0,700
5513,7897480,198104200,100,700
5514,4409515,106778300,0,300
5515,7881512,191965900,0,700
5516,8243654,204606700,0,1000
5517,3775243,91385900,0,200
5518,9800064,237551500,0,700
5519,5187215,126094900,0,300
5520,674272,16272200,0,300
5521,3268740,81944300,100,600
5522,714605,18296600,0,1500
5523,1689969,41066300,0,400
5524,2702197,65366600,0,200
5525,997001,24071500,0,300
5526,7145394,175237900,0,900
5527,2943255,71343300,100,400
5528,9625553,239309500,0,500
5529,5976143,144743500,0,900
5530,7617604,184157500,0,700
5531,2439740,59209900,100,300
5532,403294,9827800,0,200
5533,4226471,106085000,0,700
5534,5046032,121960300,0,600
5535,187874,4544300,0,200
5536,6627060,162677500,100,600
5537,3301003,83509800,100,700
5538,7852588,191798900,100,800
5539,9520170,231564400,0,500
5540,792556,19155600,0,300
5541,180011,4403900,100,200
5542,8204133,199597700,100,500
5543,6963659,176616700,100,600
5544,8601574,212649300,0,700
5545,9009102,218736500,0,500
5546,868954,22047400,0,300
5547,9564333,234930100,100,700
5548,6188848,149932100,100,600
5549,7016046,169593400,0,500
5550,91749,2208100,0,200
5551,3052866,76744000,0,700
5552,8609581,209198700,0,700
5553,9992175,247898900,0,500
5554,2250501,55723200,100,700
5555,3483621,89645000,0,500
5556,3337836,81891900,0,300
5557,6137259,149026600,0,600
5558,4889747,119023700,0,500
5559,6669449,169918900,100,700
5560,3623789,87854400,0,400
5561,3183664,89311400,0,900
5562,7879380,191165900,0,600
5563,1646296,40096800,0,300
5564,6550304,162225200,100,700
5565,3386888,82438100,0,400
5566,4639613,112870900,0,400
5567,3324071,80523600,0,400
5568,9343006,227443100,0,600
5569,6177507,152398100,0,700
5570,1212679,29275200,100,300
5571,4674284,113367700,0,600
5572,1147203,29368000,100,400
5573,2214489,53997200,0,400
5574,8622141,208697400,0,700
5575,4115544,102280900,0,300
5576,4447205,107467500,0,400
5577,7632105,187907600,100,600
5578,7673610,188966300,0,700
5579,3562460,87441800,0,400
5580,4932615,122055100,0,600
5581,2993155,72716900,0,600
5582,2388472,58097800,0,300
5583,7435799,181377900,0,400
5584,8208723,201133600,0,500
5585,9080252,222759100,0,700
5586,9789823,241607500,100,800
5587,7210495,176222600,100,900
5588,2454215,60028500,100,800
5589,2195181,53327000,0,300
5590,3557806,86260000,0,600
5591,9870404,244765800,0,700
5592,8649335,211034900,100,600
5593,9452807,232335000,100,500
5594,3431412,87243100,0,300
5595,9272385,224980800,0,1000
