Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
5177,6187011,104825400,1456400,2194100
5178,3195589,53914200,771400,1091000
5179,2864203,48273300,656900,958700
5180,1458176,24852800,305100,455400
5181,9183132,159392000,2158900,3296000
5182,3665200,61832100,837800,1290400
5183,2884380,52017300,792900,1068700
5184,5067235,86680600,1256600,1872100
5185,6749010,114484700,1614200,2393800
5186,9939686,172216700,2390400,3559900
5187,1605197,29979200,398300,560000
5188,1683250,29069900,544000,971300
5189,6582179,111129300,1556800,2309400
5190,7822873,132465000,1906800,2734200
5191,928359,16376000,142100,254200
5192,7453417,125926400,1885600,2643700
5193,3373560,57389700,799500,1200500
5194,5702906,97223700,1394200,2144200
5195,3800899,66063100,902000,1325300
5196,6185911,107691000,1496600,2192200
5197,7630978,131346000,1826900,2723800
5198,3642360,66022800,1037700,1430000
5199,9272593,168600300,2280800,3556900
5200,8588000,145908200,2029200,3068500
5201,6761813,115072700,1609300,2394600
5202,1995456,33757900,426600,620900
5203,4318511,76082100,1130500,1655600
5204,7679275,130016800,2009900,2708000
5205,7840282,133804700,1868000,2810700
5206,7877817,138083600,1936000,2956600
5207,4616677,81505500,1130300,1675700
5208,5970460,107350200,1462300,2218000
5209,7365650,129935400,1818500,2614400
5210,4296659,75699600,1171400,1709800
5211,6404094,108175000,1528300,2274100
5212,1175253,20759800,238000,357700
5213,646325,11489500,141100,200900
5214,3136689,54873400,732400,1073500
5215,2829549,48220100,679700,965700
5216,5479762,93137500,1315500,1939300
5217,8027582,142196400,1897300,2868000
5218,2522630,42804000,595700,923600
5219,7479147,131137200,1805000,2793200
5220,7861952,135360500,1966000,2874800
5221,7360751,125753500,1874700,2578300
5222,8000955,140160600,1934900,2934800
5223,9408968,163350800,2206600,3333900
5224,3306700,55942500,776200,1168200
5225,3120687,55447100,747600,1086500
5226,1735144,30029500,417900,584500
5227,7987992,140834700,1936300,2880800
5228,8035037,137673100,2058200,3054500
5229,2399850,40435000,547500,743300
5230,3922962,67931600,930900,1371000
5231,451794,7680600,63600,122200
5232,1975930,33813600,480000,656200
5233,1895475,32067200,347300,534500
5234,8744066,147921800,2069100,3101500
5235,8841746,150776000,2084100,3115500
5236,2180066,36832600,520600,670400
5237,3177082,54715500,811600,1133100
5238,4365646,74906700,1053800,1536400
5239,1615871,27258800,287500,456000
5240,5143561,89006300,1390000,1950300
5241,1969408,33296600,374200,576800
