Run,Size,Time_insert (nanoseconds)
3537,695639,6332600
3538,1251653,12875800
3539,1333567,15242100
3540,6367486,67828500
3541,4612405,42965700
3542,5429259,49937600
3543,8637143,80470600
3544,1000880,9042200
3545,9731421,91180800
3546,9438676,88571500
3547,1712261,15808500
3548,1091449,10253500
3549,6529403,62553600
3550,8928549,82991700
3551,2568880,22958600
3552,8659556,92078000
3553,6192587,58132400
3554,5506050,51899100
3555,6795831,63969000
3556,4874913,50217900
3557,4897873,46940600
3558,4185189,47514400
3559,7181827,67746900
3560,390872,3851900
3561,4096308,39982800
3562,9223234,87419800
3563,4555005,44987700
3564,1395568,14012600
3565,3685416,37607100
3566,6992158,71372000
3567,6234903,58647800
3568,5943587,59864100
3569,5795694,54997000
3570,4006851,37474900
3571,2089988,18525700
3572,1380288,12270400
3573,5082318,48427400
3574,4700240,44135600
3575,7915118,74078900
3576,5130186,48295500
3577,4412806,41461500
3578,5824105,63814100
3579,1792143,16810000
3580,5476626,50802400
3581,6562881,68542100
3582,5737769,53889200
3583,5656139,59915600
3584,2177604,20198200
3585,2248802,22370900
3586,4074114,45593100
3587,7698100,79223000
3588,1807444,17128700
3589,7541045,70925400
3590,4132592,40629800
3591,3156773,35866200
3592,4150468,39259000
3593,4904703,48046100
3594,5053086,46867400
3595,6830328,70214700
3596,7441323,69406900
3597,648434,6179900
3598,2839213,26901600
3599,7894521,72441000
3600,9700941,93650500
3601,8371997,75161000
3602,9919885,105429000
3603,1472868,14331200
3604,5807775,54001700
3605,8731402,81098900
3606,6279907,60452700
3607,5064690,46207800
3608,8592285,78005300
3609,3869901,34341600
3610,579452,5234100
3611,7137586,66367600
3612,407368,3801500
3613,2201781,20464500
3614,4401882,40872400
3615,1498909,14032100
3616,5898801,52292100
3617,5326570,48039200
3618,9563116,91046600
3619,2482261,22659400
3620,6404848,57271200
3621,3605131,39683600
3622,1752730,16325000
3623,4116487,40628400
3624,7078813,72781600
3625,6404678,63918300
3626,46407,424500
3627,5309658,53535500
3628,202044,1874300
3629,2800489,26307900
3630,1630991,16126000
3631,1580479,14658600
3632,9556012,87398100
3633,9816333,92744400
3634,4298093,38179400
3635,3248527,30139500
3636,5901208,56475300
3637,8540893,80386200
3638,3736776,33174700
3639,1369265,12245800
3640,8273122,82192400
3641,554511,5111500
3642,7946993,78083600
3643,2423922,26533400
3644,657617,6140400
3645,6785890,63443400
3646,1897926,21111200
3647,8467633,89035900
3648,140986,1288500
3649,2896680,30865300
3650,9723126,98447500
3651,5874782,58104500
3652,5941074,56001200
3653,9705849,94333700
3654,9381786,86987900
3655,6315107,66570500
3656,4975463,48274200
3657,6116008,63472000
3658,2721932,25884300
3659,3092840,28678200
3660,1632868,15091300
3661,3488574,32863700
3662,5258380,50166300
3663,4240996,47510500
3664,2259543,21503800
3665,8952700,92093000
3666,9990741,102944100
3667,8123086,76289700
3668,1402583,13109300
3669,3418738,36922700
3670,7211362,67643600
3671,649971,6864600
3672,6885730,64804700
3673,7215409,70143700
3674,6057522,56549100
3675,7502712,73052300
3676,5257048,50151200
3677,6359163,61068500
3678,6187527,59500200
3679,3118873,34836000
3680,4575605,51251100
3681,2278888,22590200
3682,4865065,51036900
3683,6051636,60553600
3684,1796595,17897700
3685,292164,2931500
3686,3473389,32656900
3687,5022263,50144700
3688,3553905,33079100
3689,6971093,73351100
3690,8452986,86686500
3691,1138625,11104400
3692,1536646,17523300
3693,7753089,72755600
3694,5527584,51972100
3695,7284679,78789100
3696,4381306,42082000
3697,6769762,64781500
3698,675830,6235200
3699,3539467,33561600
3700,1864671,19483700
3701,1928929,19699200
3702,8490028,78677700
3703,4082026,37731000
3704,1219210,11354400
3705,4488404,44498300
3706,93116,845200
3707,6887276,72142900
3708,3137449,29958400
3709,3118824,29281800
3710,2486517,23222700
3711,925633,8743600
3712,5715570,54231200
3713,5040324,48373400
3714,1526094,17229600
3715,6208474,61333200
3716,4381041,42315900
3717,5001646,56152000
3718,5482263,51283800
3719,7168618,84437000
3720,6499690,62985200
3721,4257398,48357500
